"","X","Actual_Popularity","rmse","Lasso_regression","Ridge_regression","Single_tree","Pruned_tree","Boosting","Bagging500","Bagging1000","Bagging1500","Bagging2000","RF500"
"1",1,29,2.12912648287402,31.7131562756727,32.2475357723735,30.4461193072482,30.4461193072482,32.3647973688502,30.6471666666667,31.2284785714285,30.8025746031746,30.5983809523809,29.6439666666667
"2",2,14,15.1064790750022,30.6497843776356,30.7522677606033,30.4461193072482,30.4461193072482,27.7602349569169,28.8143904761905,28.61415,28.2680777777778,28.2923416666667,27.3024666666667
"3",3,44,11.8925431762914,31.6554313010202,31.4730912940843,30.4461193072482,30.4461193072482,31.8412354169134,33.1753333333333,33.1685857142858,33.2410349206349,33.3494178571429,31.5872
"4",4,12,7.41297672308015,23.0034462896756,22.789664991375,15.9303079416532,15.9303079416532,20.8566285692065,18.5777333333333,17.4117,17.5660666666667,17.98885,21.0763666666667
"5",5,48,14.2892649557724,28.915385698266,28.8620704494464,30.4461193072482,30.4461193072482,28.1895758520444,38.3054428571429,39.31505,38.9708888888889,38.9110833333334,38.4791619047619
"6",6,49,17.3923806952308,31.8092681179388,32.2872509256665,30.4461193072482,30.4461193072482,31.1579998746223,31.7664666666667,32.1364166666667,31.8106444444445,31.826075,32.2955
"7",7,19,2.81743760222497,20.6423425146115,20.2372498267569,15.9303079416532,15.9303079416532,21.1182927334927,21.8186666666667,22.3969,22.2977222222222,22.1239535714286,22.1431333333333
"8",8,36,7.83685355192488,28.0291607746073,28.0934928478273,30.4461193072482,30.4461193072482,25.2927342380154,27.9052,28.2391,27.6329,27.7945666666667,29.4600333333333
"9",9,39,25.3343925762898,11.7937359263214,11.2706762557214,15.9303079416532,15.9303079416532,16.6868516505707,12.9520333333333,13.06485,13.1371,13.294075,13.5609666666667
"10",10,10,4.79681347557759,17.5441621320871,17.4370354190221,14.2463768115942,14.2463768115942,15.130854343105,13.3489,13.1900833333333,13.1256333333333,13.21815,15.1591
"11",11,28,4.14925944273031,31.0719545930792,31.1648962819129,30.4461193072482,30.4461193072482,32.4416391433316,32.7378333333333,32.7992285714286,32.8138190476191,32.8311309523809,32.7853
"12",12,29,4.22349873291916,23.7958315246762,24.0006063877855,24.7066795740561,24.7066795740561,24.1369148415534,25.2916666666667,25.2034833333334,25.4965,25.4121083333334,24.8239333333333
"13",13,18,12.2575264795428,33.1641060841875,33.7322717408283,30.4461193072482,30.4461193072482,33.5673661296457,27.782,28.1098833333333,28.3119444444444,28.3121,28.3051
"14",14,31,2.79033208722797,27.1381062245368,27.3547940843608,30.4461193072482,30.4461193072482,26.9760778417111,28.3151,28.3739833333333,28.4421111111111,28.583625,28.1167666666667
"15",15,7,11.6980642073358,21.2319042766067,20.5591919876947,24.7066795740561,24.7066795740561,16.5617250130625,15.1753333333333,14.6957333333333,14.7244555555555,14.6963416666666,16.8091
"16",16,22,5.42374439330677,27.5367330018223,27.2556445066364,30.4461193072482,30.4461193072482,15.2801120115948,25.6486333333333,25.9819333333333,25.9252333333334,25.79855,24.0113
"17",17,29,7.88289399331886,28.8967701559096,29.0236661064297,15.9303079416532,15.9303079416532,18.2717195130307,22.4635,23.0702833333333,22.9838888888889,22.9999166666667,22.6190666666667
"18",18,47,10.2466583146036,32.873453801638,32.7108295295616,30.4461193072482,30.4461193072482,33.7222599648192,45.8480444444444,45.042569047619,44.6472015873016,44.7345095238095,44.5761666666667
"19",19,34,3.84089717818961,31.2737942164533,31.3724770894621,30.4461193072482,30.4461193072482,33.014527429738,39.0077666666667,38.64465,38.7067777777778,38.7311166666667,36.8528666666667
"20",20,17,3.63293764412651,21.043333682347,21.1606340949716,15.9303079416532,15.9303079416532,22.5504468075326,20.6506666666667,20.1199333333333,20.2827,20.3427333333333,21.7159333333334
"21",21,22,7.8392070499803,36.1980617852282,36.3010074294184,30.4461193072482,30.4461193072482,27.0090613819381,26.7473,25.7664333333333,25.8364222222222,25.8057220238095,26.6592333333333
"22",22,39,21.9134452409938,12.7593948967768,12.3440298015454,24.7066795740561,24.7066795740561,17.3937437919448,16.6669333333333,16.7973,16.6672222222222,16.572525,16.3905
"23",23,34,1.84951492984585,33.8560014814133,34.1523393910399,30.4461193072482,30.4461193072482,33.9861574074577,35.3962666666667,35.7459571428571,35.5893047619047,35.5320035714286,34.3249666666667
"24",24,44,18.1132037927299,29.9503175374783,30.1822954885762,23.4872881355932,23.4872881355932,26.0420422083635,25.6254571428571,25.6899,25.6292222222222,25.7852833333333,24.4374
"25",25,3,16.2285593419724,20.086625147033,20.75046111968,14.2463768115942,14.2463768115942,15.4460498198903,22.2348333333333,20.7246666666667,20.7612222222222,20.7549666666667,18.8760333333333
"26",26,15,2.97401608709672,13.7389064825393,13.716078290157,14.2463768115942,14.2463768115942,13.3385279659627,10.9157,10.7516,10.7953444444445,10.8755166666667,13.0699666666667
"27",27,26,11.8731991727893,16.4680070254088,16.0544478505494,15.9303079416532,15.9303079416532,14.7058619196959,11.8048333333333,13.0785166666667,12.8306777777778,12.7186916666667,14.3428666666667
"28",28,14,17.5830825952647,27.1650679129122,26.9761899411872,30.4461193072482,30.4461193072482,32.1265921295228,32.2360952380952,33.6628666666666,33.5433555555555,33.332725,32.4649515151515
"29",29,70,38.7181563655767,28.332120470158,28.1874564740523,30.4461193072482,30.4461193072482,31.7468385743174,32.2494,32.3129666666666,32.4941063492063,32.596330952381,33.0805416666667
"30",30,70,33.9542996083186,29.9371355191256,30.6939524996865,30.4461193072482,30.4461193072482,33.825080911209,41.1982666666667,41.2559285714286,41.1652857142858,41.2509059523809,39.1135333333333
"31",31,25,4.76445910387408,28.8321734725234,28.7963326346483,30.4461193072482,30.4461193072482,29.4498342604665,19.5920666666667,20.4317928571429,20.1269904761905,19.8950428571429,21.063
"32",32,8,12.3491259061128,22.782098254889,22.5474024633159,30.4461193072482,30.4461193072482,14.8116029340522,13.3398,13.6923333333333,13.5543888888889,13.3674333333333,14.6281333333333
"33",33,26,4.32987083429315,28.8255650704591,28.8262967665021,30.4461193072482,30.4461193072482,27.3907033424739,29.0835333333333,31.5466,31.5654888888888,31.3886392857143,30.4115
"34",34,1,30.1417241145967,30.9876739166274,31.3131951951955,24.7066795740561,24.7066795740561,30.3387957212653,34.5178,32.66755,32.6503888888889,32.7646583333334,33.3236666666667
"35",35,17,3.63775313910316,19.9430750184862,19.3567900881202,24.7066795740561,24.7066795740561,19.2822078314338,15.7445333333333,15.6743833333333,15.7429666666667,15.9646833333333,16.4541666666667
"36",36,19,15.6841756891399,32.8362391671938,33.5323489452321,30.4461193072482,30.4461193072482,38.2359183992837,35.4935571428571,35.2763166666667,35.3281777777777,35.6547833333333,36.6895333333333
"37",37,28,3.40827671162809,28.558625092944,28.7451821448503,30.4461193072482,30.4461193072482,32.5489082910274,25.6587666666667,23.02335,23.3378444444445,23.6167416666667,26.0396666666667
"38",38,38,21.6114078001526,17.693317548871,17.9130613164482,14.2463768115942,14.2463768115942,13.7013494272747,17.9793666666667,17.6977166666667,17.8599888888889,17.931525,13.9432666666667
"39",39,12,15.1748707571332,27.2543303078972,26.9785456539368,30.4461193072482,30.4461193072482,26.3298258037869,26.7921,26.5310833333333,26.2540333333333,26.1545297619047,24.5016904761905
"40",40,9,5.72779116315851,16.609448490221,16.725660845758,15.9303079416532,15.9303079416532,16.7325494228219,12.7922666666667,12.8784666666667,12.6901333333333,12.7294666666667,13.0724183908046
"41",41,56,28.2979346890432,23.5559029052357,23.5511905205026,24.7066795740561,24.7066795740561,27.0221729362637,30.9227,31.2835666666667,31.2438888888889,31.0604416666667,27.5729
"42",42,39,8.73635271140904,27.123734128461,27.2893256847866,24.7066795740561,24.7066795740561,26.9661004618169,40.6909333333333,40.2492166666667,40.0484666666667,40.09565,38.7899333333333
"43",43,20,12.7873508570984,34.8824518263436,35.2479230146172,30.4461193072482,30.4461193072482,31.4504725327495,33.7627333333333,33.1465904761905,32.9717492063492,32.7505785714286,31.8182333333333
