"","Artist","Album_Name","Track_Title","Track_Id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","Y"
"29","Shinhwa","The Classic","I Gave You","0yni3ZnVQxHiCsJyMDSYUX",0.702,0.544,1,-7.549,1,0.0591,0.586,0.000901,0.132,0.963,92.183,219493,4,11
"30","Shinhwa","The Classic","Love Song","2BCeHvM0qjMeNjILn3aPVX",0.633,0.872,2,-3.572,1,0.0461,0.123,0,0.289,0.326,130.006,216227,4,14
"31","Shinhwa","The Return","On The Road","2Mq2lbjplGKeNy3tz1BiFO",0.59,0.702,4,-6.386,1,0.0426,0.109,0,0.246,0.305,116.062,248369,4,21
"32","Shinhwa","The Return","Hurts","7hNpXtXhYSj5RnLUyGhVfC",0.684,0.725,8,-5.148,1,0.0313,0.414,0,0.198,0.471,129.955,251387,4,24
"33","Shinhwa","The Return","Venus","7FV7Ng7Oj3ToGGlxvIjPtF",0.712,0.881,6,-5.362,1,0.036,0.0784,3.38e-06,0.215,0.821,125.989,217171,4,43
"34","Shinhwa","The Return","Red Carpet","3YqYvGgP1dXGYrwfGjH9bG",0.698,0.903,9,-6.517,0,0.0604,0.0205,0,0.321,0.817,127.037,217073,4,11
"35","Shinhwa","The Return","Move With Me","1wmuKrJZGOaIb2x32Ijig9",0.793,0.623,9,-8.2,0,0.126,0.122,0,0.0216,0.882,93.025,198189,4,10
"36","Shinhwa","The Return","Let It Go","4GUEMT56B51XjhwZrjzerZ",0.671,0.855,2,-5.461,1,0.0385,0.038,0,0.318,0.529,124.941,222655,4,19
"37","Shinhwa","The Return","Stay","0rePpYwYaMfkIyWNy0Nnnw",0.759,0.724,11,-5.178,0,0.05,0.0437,0,0.0199,0.918,130.002,197033,4,18
"38","Shinhwa","The Return","Welcome","6Z9cKwfNt2Bnvi1pUV1onh",0.821,0.715,7,-5.466,1,0.0438,0.00738,1.24e-06,0.202,0.867,125.028,212746,4,13
"39","Shinhwa","The Return","Be My Love","5ls2CPKpNGUe8PWRCdHrXm",0.682,0.931,1,-3.843,1,0.0887,0.0717,0,0.421,0.793,119.945,189166,4,12
"40","Shinhwa","The Return","Re-Love","5j9Wms6kZcheSqHCoa5kdW",0.67,0.768,5,-6.502,1,0.0339,0.176,0,0.121,0.566,121.954,259335,4,11
"41","Shinhwa","The Return","Breathin`","6HPAm4JzDKoxSBHSWCRebA",0.604,0.849,6,-6.057,1,0.0428,0.0638,0,0.213,0.372,90,287530,4,17
"42","Shinhwa","SHINHWA 9th (White Edition)","Last Train Home","2NczNYvGHy9z7jq7rOTZAp",0.513,0.491,0,-17.53,1,0.0355,0.0736,0.734,0.321,0.24,95.015,66547,4,2
