"","Index_in_test_dataset","Actual_Popularity","rmse","Lasso_regression","Ridge_regression","Single_tree","Pruned_tree","Boosting","Bagging500","Bagging1000","Bagging1500","Bagging2000","RF500","Artist","Album_Name","Track_Title","Case_studies"
"1",173,32,0.826356606628816,31.8731310129761,31.8039966773042,30.4461193072482,30.4461193072482,32.118278010879,32.8647666666667,31.6922285714286,31.8802190476191,32.2683726190476,33.2700333333333,"Super Junior","TIMELESS - The 9th Album Repackage","Rock Your Body","Low RMSE"
"2",383,31,0.836207124707564,30.459485229753,30.8647292716819,30.4461193072482,30.4461193072482,30.4607834533019,32.311,31.8303333333333,32.1280222222222,32.111194047619,31.5716435897436,"BoA","BETTER - The 10th Album","Cloud","Low RMSE"
"3",852,18,0.838530682245142,18.1273665661962,18.0868450525225,19.1567877629063,19.1567877629063,18.6247806684281,18.5993666666667,18.9320333333333,18.9051777777778,18.95895,18.8704,"BIGBANG","2016 BIGBANG WORLD TOUR [MADE] FINAL IN SEOUL LIVE","Wings - Live","Low RMSE"
"4",843,78,50.4400275925247,29.9188697465456,29.9289793774901,30.4461193072482,30.4461193072482,27.8223677254754,24.9591,26.0182404761905,26.0696825396826,25.8775035714286,26.2574,"TXT","The Chaos Chapter: FIGHT OR ESCAPE","LO$ER=LO♡ER","Highest RMSE and Unexpectedly Popular"
"5",622,75,40.7512126414289,28.9152655280408,29.0836152393992,30.4461193072482,30.4461193072482,33.8255409115037,37.1177,37.6502833333333,37.7722555555555,37.8520166666666,37.6663076923077,"TXT","The Chaos Chapter: FREEZE","0X1=LOVESONG (I Know I Love You) feat. Seori","Unexpectedly Popular"
"6",432,77,37.753500305898,31.5454296540328,32.1470720604542,30.4461193072482,30.4461193072482,30.5348062763667,46.9977333333333,48.01485,47.8351888888888,47.9347583333333,48.2474,"BTS","Love Yourself 承 'Her'","DNA","Unexpectedly Popular"
"7",798,0,34.5854669826779,33.5778717968289,34.4809733661432,30.4461193072482,30.4461193072482,35.9782938663567,37.0309333333333,35.45355,35.4698888888889,35.383825,36.0906,"MAMAMOO","TRAVEL -Japan Edition-","AYA","Unexpectedly Unpopular"
